Наименование	Раздел	Родитель	Опция	ОтборПоЗначению	ТипЗначенияПараметра	РазрешеноКопирование	ПроверкаЗаполнения	Автоиспользование	БезПробелов	Кавычки	КавычкиДляЗначения	Описание
Разрядность используемого клиентского приложения	cc4c121a-dd48-11e8-83dc-485ab6090f00	cc4c1216-dd48-11e8-83dc-485ab6090f00	/AppArch		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	"/AppArch <разрядность>
— указывает разрядность используемого клиентского приложения на 64-разрядных ОС семейства Windows.

Параметр <разрядность> может принимать следующие значения:

x86 — использовать только 32-разрядные версии, 
x86_64 — использовать только 64-разрядные версии, 
х86_prt — поиск самой актуальной версии, и если для найденной версии доступны приложения в обоих вариантах разрядности, выбирается 32-разрядная версия, 
x86_64_prt — поиск самой актуальной версии, и если для найденной версии доступны приложения в обоих вариантах разрядности, выбирается 64-разрядная версия."
Использование клиентских сертификатов (только для тонкого клиента)	605e73be-de01-11e8-83dd-485ab6090f00	e9d592e2-dd41-11e8-83dc-485ab6090f00		 e9d592e0-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	
Источник сертификатов удостоверяющих центров	605e73bf-de01-11e8-83dd-485ab6090f00	605e73be-de01-11e8-83dd-485ab6090f00	/HttpsCA		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	"/HttpsCA [-windows] [-file <path>] [-pwd <password>] [-none]
— указывает источник сертификатов удостоверяющих центров, используемых для проверки сертификата сервера.  Если данный ключ не указан, то источник сертификатов удостоверяющих центров определяется в диалоге настройки соединения с информационной базой. (Используется только в тонком клиенте!)

-windows — указывает, что для проверки сертификата сервера при соединении нужно использовать сертификаты CA из системного хранилища сертификатов операционной системы Microsoft Windows. Данный параметр игнорируется, если установлен хотя бы один из параметров ключа -file или -none.

-file <path> — указывает, что для проверки сертификата сервера при соединении нужно использовать сертификаты удостоверяющих центров, загружаемые из указанного файла. Данный параметр игнорируется, если установлен параметр ключа -none.

-pwd <password> — пароль файла, содержащего корневые сертификаты. Если файл сертификата защищен паролем, то соединение возможно только при правильно указанном пароле. Данный параметр игнорируется, если у данного ключа не указан параметр -file.

-none — указывает, что корневые сертификаты не используются и сертификат сервера не проверяется.

Если ни один из параметров -windows, -file или -none не установлен, то ключ /HttpsCA игнорируется."
Путь к файлу	605e73c3-de01-11e8-83dd-485ab6090f00	605e73bf-de01-11e8-83dd-485ab6090f00		 605e73c1-de01-11e8-83dd-485ab6090f00	Файл;Открытие;Все файлы (*.*)|*.*	Нет	Да	Нет	Нет	Нет	Да	
Пароль	605e73c4-de01-11e8-83dd-485ab6090f00	605e73bf-de01-11e8-83dd-485ab6090f00	-pwd		Строка	Нет	Да	Нет	Нет	Нет	Да	
Источник клиентского сертификата	605e73c5-de01-11e8-83dd-485ab6090f00	605e73be-de01-11e8-83dd-485ab6090f00	/HttpsCert		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	"/HttpsCert [-windows] [-recent] [-auto] [-choose] [-file <path>] [-pwd <password>] [-none]
— указывает источник клиентского сертификата. Если данный ключ не указан, то источник клиентского сертификата определяется в диалоге настройки соединения с информационной базой.  (Используется только в тонком клиенте!)

-windows — указывает, что при соединении нужно использовать клиентский сертификат из системного хранилища сертификатов операционной системы Microsoft Windows. Данный параметр игнорируется, если установлен хотя бы один из следующих параметров ключа: -file или –none.

-recent — выбирать или использовать ранее выбранный клиентский системный сертификат Microsoft Windows.

Если в системном хранилище пользовательских сертификатов присутствует более одного подходящего сертификата, то пользователю предоставляется выбор используемого сертификата через системный диалог выбора сертификата. В дальнейшем выбранный сертификат используется автоматически.

Данный способ выбора клиентского сертификата выбран по умолчанию для параметра ключа -windows, если параметры -auto и -choose не установлены. 

-auto — использовать автоматически выбранный клиентский сертификат из установленных в системном хранилище сертификатов операционной системы Microsoft Windows. Данный параметр игнорируется, если у параметра отсутствует параметр –windows.

-choose — всегда выбирать используемый клиентский сертификат Microsoft Windows.

Если в системном хранилище пользовательских сертификатов присутствует более одного подходящего сертификата, то пользователю предоставляется выбор используемого сертификата через системный диалог выбора сертификата независимо от того, был ли ранее выбран какой-либо сертификат. Выбранный сертификат в дальнейшем может использоваться автоматически с ключом –recent.

Данный параметр можно указать, если необходимо избежать автоматического использования ранее выбранного клиентского сертификата из системного хранилища сертификатов операционной системы Microsoft Windows, и выбрать новый сертификат из установленных в системе сертификатов подходящих для данного соединения. Данный параметр игнорируется, если у ключа отсутствует параметр -windows или установлен параметр -auto.

-file <path> — указывает, что необходимо использовать клиентский сертификат и приватный ключ из указанного файла. Данный параметр игнорируется, если у ключа установлен параметр -none.

-pwd <password> — указывает пароль файла, содержащего клиентский сертификат и его приватный ключ. Если сервер требует предоставления клиентского сертификата и файл сертификата защищен паролем, то соединение возможно только при правильно указанном пароле. Данный параметр игнорируется, если у данного ключа не указан параметр -file. 

-none — указывает, что клиентский сертификат не используется. Соединение возможно только с серверами, не требующими проверки клиентского сертификата.

Если ни один из параметров -windows, -file или -none не установлен, то ключ /HttpsCert игнорируется."
Способ выбора клиентского сертификата	605e73c9-de01-11e8-83dd-485ab6090f00	605e73c5-de01-11e8-83dd-485ab6090f00		 605e73c6-de01-11e8-83dd-485ab6090f00	Перечисление	Нет	Да	Нет	Нет	Нет	Нет	"-recent — выбирать или использовать ранее выбранный клиентский системный сертификат Microsoft Windows.
Если в системном хранилище пользовательских сертификатов присутствует более одного подходящего сертификата, то пользователю предоставляется выбор используемого сертификата через системный диалог выбора сертификата. В дальнейшем выбранный сертификат используется автоматически.

-auto — использовать автоматически выбранный клиентский сертификат из установленных в системном хранилище сертификатов операционной системы Microsoft Windows.

-choose — всегда выбирать используемый клиентский сертификат Microsoft Windows.
Если в системном хранилище пользовательских сертификатов присутствует более одного подходящего сертификата, то пользователю предоставляется выбор используемого сертификата через системный диалог выбора сертификата независимо от того, был ли ранее выбран какой-либо сертификат. Выбранный сертификат в дальнейшем может использоваться автоматически с ключом –recent.
Данный параметр можно указать, если необходимо избежать автоматического использования ранее выбранного клиентского сертификата из системного хранилища сертификатов операционной системы Microsoft Windows, и выбрать новый сертификат из установленных в системе сертификатов подходящих для данного соединения."
Путь к файлу	605e73cd-de01-11e8-83dd-485ab6090f00	605e73c5-de01-11e8-83dd-485ab6090f00		 605e73c7-de01-11e8-83dd-485ab6090f00	Файл;Открытие;Все файлы (*.*)|*.*	Нет	Да	Нет	Нет	Нет	Да	Путь к файлу, содержащему клиентский сертификат и приватный ключ
Пароль	605e73ce-de01-11e8-83dd-485ab6090f00	605e73c5-de01-11e8-83dd-485ab6090f00		 605e73c7-de01-11e8-83dd-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Да	Пароль файла, содержащего клиентский сертификат и его приватный ключ. Если сервер требует предоставления клиентского сертификата и файл сертификата защищен паролем, то соединение возможно только при правильно указанном пароле.
Протокол	605e73cf-de01-11e8-83dd-485ab6090f00	605e73be-de01-11e8-83dd-485ab6090f00			Перечисление	Нет	Да	Нет	Нет	Нет	Нет	"/HttpsForceSSLv3
— определяет принудительное использование протокола SSL версии 3.0 тонким клиентом при работе через веб-сервер с помощью протокола HTTPS.
Внимание! Одновременное использование с параметром HTTPSForceTLS1_0 не допускается.

/HttpsForceTLS1_0
— определяет принудительное использование протокола TLS версии 1.0 тонким клиентом при работе через веб-сервер с помощью протокола HTTPS. 
Внимание! Одновременное использование с параметром HTTPSForceSSLv3 не допускается."
Указание параметров подключения	4f56bf50-e126-11e8-83de-485ab6090f00	e9d592e2-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Да	Нет	Нет	Нет	
Способ подключения	e9d592e3-dd41-11e8-83dc-485ab6090f00	4f56bf50-e126-11e8-83de-485ab6090f00		 e9d592df-dd41-11e8-83dc-485ab6090f00, e9d592e0-dd41-11e8-83dc-485ab6090f00	Перечисление	Нет	Да	Да	Да	Да	Нет	
Каталог информационной базы	e9d592e9-dd41-11e8-83dc-485ab6090f00	e9d592e3-dd41-11e8-83dc-485ab6090f00		 e9d592e4-dd41-11e8-83dc-485ab6090f00	Каталог	Нет	Да	Да	Нет	Нет	Нет	Путь каталогу, где находится информационная база в виде файла 1Cv8.1CD (имя файла указывать не надо).
Имя сервера	e9d592eb-dd41-11e8-83dc-485ab6090f00	e9d592e3-dd41-11e8-83dc-485ab6090f00		 e9d592e5-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Да	Нет	Нет	Нет	Имя компьютера, работающего сервером приложений
Имя базы	e9d592ed-dd41-11e8-83dc-485ab6090f00	e9d592e3-dd41-11e8-83dc-485ab6090f00	\	 e9d592e5-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Да	Да	Нет	Нет	Ссылочное имя информационной базы, известное в рамках сервера "1С:Предприятия 8"
URL информационной базы	e9d592ee-dd41-11e8-83dc-485ab6090f00	e9d592e3-dd41-11e8-83dc-485ab6090f00		 e9d592e6-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Да	Нет	Нет	Нет	Строка ws-соединения
Имя ИБ в списке информационных баз	e9d592ef-dd41-11e8-83dc-485ab6090f00	e9d592e3-dd41-11e8-83dc-485ab6090f00		 e9d592e7-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Да	Нет	Нет	Нет	Имя информационной базы в списке информационных баз. Список информационных баз может быть определен в параметре /RunShortcut
Строка соединения	e9d592f0-dd41-11e8-83dc-485ab6090f00	e9d592e3-dd41-11e8-83dc-485ab6090f00		 e9d592e8-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Да	Нет	Нет	Нет	"/IBConnectionString <строка соединения>
— позволяет задать строку соединения с информационной базой целиком в том виде, в котором ее возвращает функция СтрокаСоединенияИнформационнойБазы(). Части строки соединения могут быть переопределены параметрами /S и /F. Для этого нужно, чтобы /IBConnectionString находился в командной строке раньше них. Передавая строку соединения в качестве параметра командной строки, нужно помнить о том, что строка соединения содержит кавычки. Поэтому требуется взять всю строку в кавычки, а содержащиеся внутри кавычки удвоить.

Дополнительные параметры строки соединения в режиме тонкого клиента:

wsn — имя пользователя для аутентификации на веб-сервере;
wsp — пароль пользователя для аутентификации на веб-сервере;
wspauto — использовать автоматические настройки прокси сервера;
wspsrv — адрес прокси сервера;
wspport — порт прокси;
wspuser — имя пользователя для прокси с авторизацией;
wsppwd — пароль для прокси с авторизацией."
Скорость соединения	e9d59311-dd41-11e8-83dc-485ab6090f00	4f56bf50-e126-11e8-83de-485ab6090f00	/O	 e9d592e0-dd41-11e8-83dc-485ab6090f00	Перечисление	Нет	Да	Нет	Нет	Нет	Нет	"/O <скорость соединения> 
— определяет скорость соединения (используется в тонком клиенте):

 Normal — обычная, 
 Low — низкая скорость соединения."
Уровень защищенности соединения клиента с сервером	d3e36de2-dd45-11e8-83dc-485ab6090f00	4f56bf50-e126-11e8-83de-485ab6090f00	/SLev	 e9d592e5-dd41-11e8-83dc-485ab6090f00	Перечисление	Нет	Нет	Нет	Да	Нет	Нет	"/SLev<Уровень>
— определяет уровень защищенности соединения клиента с сервером ""1С:Предприятия"" (используется для тонкого и веб-клиентов в режиме ""1С:Предприятие"").

Параметр <Уровень> может принимать следующие значения:
   0 — незащищенное соединение;
   1 — защищенное соединение только в процессе выполнения аутентификации;
   2 — защищенное соединение в течение всего сеанса;
Если не указан, используется значение 0."
Установка разделителей сеанса	d3e36de7-dd45-11e8-83dc-485ab6090f00	4f56bf50-e126-11e8-83de-485ab6090f00	/Z		Строка (255)	Нет	Да	Нет	Да	Нет	Нет	"/Z<Общий реквизит 1>,<Общий реквизит 2>,...,<Общий реквизит N> 
— установка разделителей сеанса.

<Общий реквизит> = [<+>|<->]<значение общего реквизита>

[<+>|<->] — признак использования: ""+"" (по умолчанию) — реквизит используется; ""-"" — не используется;

Если разделитель не используется, то перед значением должен быть ""-"". Если первым символом в значении разделителя содержится символ ""+"" или ""-"", то при указании его нужно удваивать.

<значение общего реквизита> - значение общего реквизита. Если в значении разделителя присутствует запятая, то при указании ее нужно удваивать. Если значение разделителя пропущено, но разделитель должен использоваться, то используется символ ""+"". 

Разделители разделяются запятой. 

Например:

""/Z-ПервыйРазделитель,+,---ТретийРазделитель"", что означает:

Первый разделитель выключен, значение — ""ПервыйРазделитель"",

Второй разделитель включен, значение — пустая строка,

Третий разделитель выключен, значение — ""-ТретийРазделитель""."
Значение общего реквизита	be09720e-dd47-11e8-83dc-485ab6090f00	d3e36de7-dd45-11e8-83dc-485ab6090f00	,		Строка (255)	Да	Да	Нет	Да	Нет	Нет	
Параметры запуска конфигуратора	e9d59350-dd41-11e8-83dc-485ab6090f00	e9d592de-dd41-11e8-83dc-485ab6090f00		 e9d592df-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	
Работа с информационной базой	e9d59351-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Нет	Нет	Нет	Нет	
Выгрузка информационной базы	e9d59352-dd41-11e8-83dc-485ab6090f00	e9d59351-dd41-11e8-83dc-485ab6090f00	/DumpIB		Файл;Сохранение;Выгрузка базы данных (*.dt)|*.dt	Нет	Да	Нет	Нет	Нет	Нет	
Загрузка информационной базы	e9d59354-dd41-11e8-83dc-485ab6090f00	e9d59351-dd41-11e8-83dc-485ab6090f00	/RestoreIB		Файл;Открытие;Выгрузка базы данных (*.dt)|*.dt	Нет	Да	Нет	Нет	Нет	Нет	
Конфигурация и расширения	e9d59356-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Нет	Нет	Нет	Нет	
Проверка применимости расширений	e9d59357-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/CheckCanApplyConfigurationExtensions		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Имя расширения	e9d5935a-dd41-11e8-83dc-485ab6090f00	e9d59357-dd41-11e8-83dc-485ab6090f00	-Extension	 e9d59358-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	
Значения разделителей	e9d5935b-dd41-11e8-83dc-485ab6090f00	e9d59357-dd41-11e8-83dc-485ab6090f00	-Z	 e9d59358-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	
Построение отчета о сравнении конфигурации	e9d5935c-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/CompareCfg			Нет	Нет	Нет	Нет	Нет	Нет	
Тип первой конфигурации для сравнения	e9d5935d-dd41-11e8-83dc-485ab6090f00	e9d5935c-dd41-11e8-83dc-485ab6090f00	-FirstConfigurationType		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Имя конфигурации поставщика	e9d59365-dd41-11e8-83dc-485ab6090f00	e9d5935d-dd41-11e8-83dc-485ab6090f00	-FirstConfigurationKey	 e9d59360-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	
Имя конфигурации расширения	e9d59366-dd41-11e8-83dc-485ab6090f00	e9d5935d-dd41-11e8-83dc-485ab6090f00	-FirstConfigurationKey	 e9d59361-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	
Версия конфигурации в хранилище	e9d59367-dd41-11e8-83dc-485ab6090f00	e9d5935d-dd41-11e8-83dc-485ab6090f00	-FirstConfigurationKey	 e9d59363-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	
Путь к файлу конфигурации/расширения конфигурации	e9d59368-dd41-11e8-83dc-485ab6090f00	e9d5935d-dd41-11e8-83dc-485ab6090f00	-FirstConfigurationKey	 e9d59364-dd41-11e8-83dc-485ab6090f00	Файл;Открытие;Файл конфигурации (*.cf)|*.cf	Нет	Да	Нет	Нет	Нет	Нет	
Тип второй конфигурации для сравнения	e9d5936a-dd41-11e8-83dc-485ab6090f00	e9d5935c-dd41-11e8-83dc-485ab6090f00	-SecondConfigurationType		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Имя конфигурации поставщика	e9d59372-dd41-11e8-83dc-485ab6090f00	e9d5936a-dd41-11e8-83dc-485ab6090f00	-SecondConfigurationKey	 e9d5936d-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	
Имя конфигурации расширения	e9d59373-dd41-11e8-83dc-485ab6090f00	e9d5936a-dd41-11e8-83dc-485ab6090f00	-SecondConfigurationKey	 e9d5936e-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	
Версия конфигурации в хранилище	e9d59374-dd41-11e8-83dc-485ab6090f00	e9d5936a-dd41-11e8-83dc-485ab6090f00	-SecondConfigurationKey	 e9d59370-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	
Путь к файлу конфигурации/расширения конфигурации	e9d59375-dd41-11e8-83dc-485ab6090f00	e9d5936a-dd41-11e8-83dc-485ab6090f00	-SecondConfigurationKey	 e9d59371-dd41-11e8-83dc-485ab6090f00	Файл;Открытие;Файл конфигурации (*.cf)|*.cf	Нет	Да	Нет	Нет	Нет	Нет	
Правило установки соответствий объектов	e9d59376-dd41-11e8-83dc-485ab6090f00	e9d5935c-dd41-11e8-83dc-485ab6090f00	-MappingRule		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Файл со списком объектов	e9d59379-dd41-11e8-83dc-485ab6090f00	e9d5935c-dd41-11e8-83dc-485ab6090f00	-Objects		Файл;Открытие;Список объектов (*.xml)|*.xml	Нет	Да	Нет	Нет	Нет	Нет	
Тип отчета	e9d5937b-dd41-11e8-83dc-485ab6090f00	e9d5935c-dd41-11e8-83dc-485ab6090f00	-ReportType		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Включать в отчет измененные подчиненные объекты	e9d5937e-dd41-11e8-83dc-485ab6090f00	e9d5935c-dd41-11e8-83dc-485ab6090f00	-IncludeChangedObjects			Нет	Нет	Нет	Нет	Нет	Нет	
Включать в отчет удаленные подчиненные объекты	e9d5937f-dd41-11e8-83dc-485ab6090f00	e9d5935c-dd41-11e8-83dc-485ab6090f00	-IncludeDeletedObjects			Нет	Нет	Нет	Нет	Нет	Нет	
Включать в отчет добавленные подчиненные объекты	e9d59380-dd41-11e8-83dc-485ab6090f00	e9d5935c-dd41-11e8-83dc-485ab6090f00	-IncludeAddedObjects			Нет	Нет	Нет	Нет	Нет	Нет	
Формат файла отчета	e9d59381-dd41-11e8-83dc-485ab6090f00	e9d5935c-dd41-11e8-83dc-485ab6090f00	-ReportFormat		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Путь к результирующему файлу отчета	e9d59384-dd41-11e8-83dc-485ab6090f00	e9d5935c-dd41-11e8-83dc-485ab6090f00	-ReportFile		Файл;Сохранение;Отчет о сравнении (*.mxl)|*.mxl	Нет	Да	Нет	Нет	Нет	Нет	
Удаление расширений конфигурации	e9d59386-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/DeleteCfg			Нет	Нет	Нет	Нет	Нет	Нет	
Имя расширения	e9d59387-dd41-11e8-83dc-485ab6090f00	e9d59386-dd41-11e8-83dc-485ab6090f00			Строка	Нет	Да	Нет	Нет	Нет	Нет	
Сохранение конфигурации (расширения) в файл	e9d59388-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/DumpCfg		Файл;Сохранение;Файл конфигурации (*.cf)|*.cf|Файл расширения конфигурации (*.cfe)|*.cfe	Нет	Да	Нет	Нет	Нет	Нет	
Имя расширения	e9d5938a-dd41-11e8-83dc-485ab6090f00	e9d59388-dd41-11e8-83dc-485ab6090f00	-Extension		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Выгрузка некоторых свойств объектов метаданных	e9d5938b-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/DumpConfigFiles		Каталог	Нет	Да	Нет	Нет	Нет	Нет	
Выгружать модули	e9d5938c-dd41-11e8-83dc-485ab6090f00	e9d5938b-dd41-11e8-83dc-485ab6090f00	-Module			Нет	Нет	Нет	Нет	Нет	Нет	
Выгружать макеты	e9d5938d-dd41-11e8-83dc-485ab6090f00	e9d5938b-dd41-11e8-83dc-485ab6090f00	-Template			Нет	Нет	Нет	Нет	Нет	Нет	
Выгружать справочную информацию	e9d5938e-dd41-11e8-83dc-485ab6090f00	e9d5938b-dd41-11e8-83dc-485ab6090f00	-Help			Нет	Нет	Нет	Нет	Нет	Нет	
Выгружать свойства только доступных для записи объектов	e9d5938f-dd41-11e8-83dc-485ab6090f00	e9d5938b-dd41-11e8-83dc-485ab6090f00	-AllWritable			Нет	Нет	Нет	Нет	Нет	Нет	
Выгружать общие картинки	e9d59390-dd41-11e8-83dc-485ab6090f00	e9d5938b-dd41-11e8-83dc-485ab6090f00	-Picture			Нет	Нет	Нет	Нет	Нет	Нет	
Выгружать права	e9d59391-dd41-11e8-83dc-485ab6090f00	e9d5938b-dd41-11e8-83dc-485ab6090f00	-Right			Нет	Нет	Нет	Нет	Нет	Нет	
Имя расширения	e9d59392-dd41-11e8-83dc-485ab6090f00	e9d5938b-dd41-11e8-83dc-485ab6090f00	-Extension		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Выгрузка конфигурации в XML-файлы	e9d59393-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/DumpConfigToFiles		Каталог	Нет	Да	Нет	Нет	Нет	Нет	
Выгружать расширения конфигурации	e9d59394-dd41-11e8-83dc-485ab6090f00	e9d59393-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Имя расширения	e9d59397-dd41-11e8-83dc-485ab6090f00	e9d59394-dd41-11e8-83dc-485ab6090f00		 e9d59396-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	
Формат выгрузки	e9d59398-dd41-11e8-83dc-485ab6090f00	e9d59393-dd41-11e8-83dc-485ab6090f00	-Format		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Выгружать только измененные объекты	e9d5939b-dd41-11e8-83dc-485ab6090f00	e9d59393-dd41-11e8-83dc-485ab6090f00	-update			Нет	Нет	Нет	Нет	Нет	Нет	
Выгружать все, если отличается формат выгрузки	e9d5939c-dd41-11e8-83dc-485ab6090f00	e9d5939b-dd41-11e8-83dc-485ab6090f00	-force			Нет	Нет	Нет	Нет	Нет	Нет	
Файл изменений относительно предыдущей выгрузки	e9d5939d-dd41-11e8-83dc-485ab6090f00	e9d59393-dd41-11e8-83dc-485ab6090f00	-getChanges		Файл;Открытие;Файл изменений конфигурации (*.txt)|*.txt	Нет	Да	Нет	Нет	Нет	Нет	
Файл версий для сравнения изменений	e9d5939f-dd41-11e8-83dc-485ab6090f00	e9d59393-dd41-11e8-83dc-485ab6090f00	-configDumpInfoForChanges		Файл;Сохранение;Файл версий (*.xml)|*.xml	Нет	Да	Нет	Нет	Нет	Нет	
Файл со списком объектов для выгрузки	e9d593a1-dd41-11e8-83dc-485ab6090f00	e9d59393-dd41-11e8-83dc-485ab6090f00	-listFile		Файл;Сохранение;Файл со списком объектов (*.xml)|*.xml	Нет	Да	Нет	Нет	Нет	Нет	
Сохранение конфигурации (расширения) базы данных в файл	e9d593a3-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/DumpDBCfg		Файл;Сохранение;Файл конфигурации (*.cf)|*.cf|Файл расширения конфигурации (*.cfe)|*.cfe	Нет	Да	Нет	Нет	Нет	Нет	
Имя расширения	e9d593a4-dd41-11e8-83dc-485ab6090f00	e9d593a3-dd41-11e8-83dc-485ab6090f00	-Extension			Нет	Нет	Нет	Нет	Нет	Нет	
Вывод расширений конфигурации	e9d593a5-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/DumpDBCfgList		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Имя расширения	e9d593a8-dd41-11e8-83dc-485ab6090f00	e9d593a5-dd41-11e8-83dc-485ab6090f00		 e9d593a6-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	
Загрузка конфигурации (расширения) из файла	e9d593a9-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/LoadCfg		Файл;Открытие;Файл конфигурации (*.cf)|*.cf|Файл расширения конфигурации (*.cfe)|*.cfe	Нет	Да	Нет	Нет	Нет	Нет	
Имя расширения	e9d593ab-dd41-11e8-83dc-485ab6090f00	e9d593a9-dd41-11e8-83dc-485ab6090f00	-Extension		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Загрузка некоторых свойств объектов метаданных	e9d593ac-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/LoadConfigFiles		Каталог	Нет	Да	Нет	Нет	Нет	Нет	
Загружать модули	e9d593ad-dd41-11e8-83dc-485ab6090f00	e9d593ac-dd41-11e8-83dc-485ab6090f00	-Module			Нет	Нет	Нет	Нет	Нет	Нет	
Загружать макеты	e9d593ae-dd41-11e8-83dc-485ab6090f00	e9d593ac-dd41-11e8-83dc-485ab6090f00	-Template			Нет	Нет	Нет	Нет	Нет	Нет	
Загружать справочную информацию	e9d593af-dd41-11e8-83dc-485ab6090f00	e9d593ac-dd41-11e8-83dc-485ab6090f00	-Help			Нет	Нет	Нет	Нет	Нет	Нет	
Загружать свойства только доступных для записи объектов	e9d593b0-dd41-11e8-83dc-485ab6090f00	e9d593ac-dd41-11e8-83dc-485ab6090f00	-AllWritable			Нет	Нет	Нет	Нет	Нет	Нет	
Загружать общие картинки	e9d593b1-dd41-11e8-83dc-485ab6090f00	e9d593ac-dd41-11e8-83dc-485ab6090f00	-Picture			Нет	Нет	Нет	Нет	Нет	Нет	
Загружать права	e9d593b2-dd41-11e8-83dc-485ab6090f00	e9d593ac-dd41-11e8-83dc-485ab6090f00	-Right			Нет	Нет	Нет	Нет	Нет	Нет	
Имя расширения	e9d593b3-dd41-11e8-83dc-485ab6090f00	e9d593ac-dd41-11e8-83dc-485ab6090f00	-Extension		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Загрузка конфигурации из файлов	e9d593b4-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/LoadConfigFromFiles		Каталог	Нет	Да	Нет	Нет	Нет	Нет	
Загружать расширения конфигурации	e9d593b5-dd41-11e8-83dc-485ab6090f00	e9d593b4-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Имя расширения	e9d593b8-dd41-11e8-83dc-485ab6090f00	e9d593b5-dd41-11e8-83dc-485ab6090f00		 e9d593b7-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Да	Нет	Нет	Нет	
Список файлов для загрузки указывается	e9d593b9-dd41-11e8-83dc-485ab6090f00	e9d593b4-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Да	Да	Нет	Нет	Нет	
Первый файл	e9d593bc-dd41-11e8-83dc-485ab6090f00	e9d593b9-dd41-11e8-83dc-485ab6090f00		 e9d593ba-dd41-11e8-83dc-485ab6090f00	Файл;Открытие;Все файлы (*.*)|*.*	Нет	Да	Да	Нет	Нет	Нет	
Следующий файл	e9d593be-dd41-11e8-83dc-485ab6090f00	e9d593b9-dd41-11e8-83dc-485ab6090f00	,	 e9d593ba-dd41-11e8-83dc-485ab6090f00	Файл;Открытие;Все файлы (*.*)|*.*	Да	Да	Нет	Нет	Нет	Нет	
